Time [s],Velocity [km/h],Acceleration [m/s^2],Battery_Voltage [V]
0,0,-0.3293,388.8
0.1,0,-0.3293,388.8
0.2,0,-0.358,388.8
0.3,0,-0.35235,388.8
0.4,0,-0.34367,388.8
0.5,0,-0.358,388.8
0.6,0,-0.358,388.8
0.7,0,-0.358,388.8
0.8,0,-0.36367,388.8
0.9,0,-0.39496,388.8
1,0,-0.42098,388.8
1.1,0,-0.36669,388.8
1.2,0,-0.338,388.8
1.3,0,-0.34932,388.80971
1.4,0,-0.378,388.85971
1.5,0,-0.36671,388.9
1.6,0,-0.34932,388.9
1.7,0,-0.36668,388.9
1.8,0,-0.338,388.9
1.9,0,-0.34366,388.9
2,0,-0.358,388.9
2.1,0,-0.35234,388.9
2.2,0,-0.34368,388.9
2.3,0,-0.34667,388.90973
2.4,0,-0.32369,388.95973
2.5,0,-0.34367,388.99027
2.6,0,-0.35231,388.94028
2.7,0,-0.33233,388.9
2.8,0,-0.34076,388.9
2.9,0,-0.38666,388.90974
3,0,-0.34662,388.95974
3.1,0,-0.34069,388.99026
3.2,0,-0.40369,388.94026
3.3,0,-0.40665,388.90975
3.4,0,-0.36661,388.95974
3.5,0,-0.32097,388.99026
3.6,0,-0.30648,388.94025
3.7,0,-0.38368,388.9
3.8,0,-0.36951,388.9
3.9,0,-0.31503,388.90975
4,0,-0.3523,388.95976
4.1,0,-0.34368,389
4.2,0,-0.37511,389
4.3,0,-0.40663,389
4.4,0,-0.36659,389
4.5,0,-0.34937,389
4.6,0,-0.36659,389
4.7,0,-0.338,389
4.8,0,-0.3437,389
4.9,0,-0.35231,389
5,0,-0.338,389
5.1,0,-0.32662,388.99022
5.2,0,-0.31513,388.94022
5.3,0,-0.36369,388.90979
5.4,0,-0.378,388.95979
5.5,0,-0.36661,389
5.6,0,-0.338,389
5.7,0,-0.34939,389
5.8,0,-0.38372,389
5.9,0,-0.3923,389
6,0,-0.37228,389
6.1,0,-0.34676,389
6.2,0,-0.33986,389
6.3,0,-0.37067,389
6.4,0,-0.3144,389
6.5,0,-0.358,388.99018
6.6,0,-0.358,388.94019
6.7,0,-0.36343,388.90981
6.8,0,-0.36199,388.9598
6.9,0,-0.32867,389
7,0,-0.36334,389
7.1,0,-0.36732,388.9902
7.2,0,-0.34868,388.94018
7.3,0,-0.38334,388.90983
7.4,0,-0.38732,388.95983
7.5,0,-0.358,388.99017
7.6,0,-0.36334,388.94016
7.7,0,-0.37266,388.9
7.8,0,-0.358,388.9
7.9,0,-0.35265,388.90985
8,0,-0.34334,388.95984
8.1,0,-0.34732,388.99017
8.2,0,-0.32869,388.94016
8.3,0,-0.35265,388.90986
8.4,0,-0.33265,388.95986
8.5,0,-0.32869,388.99015
8.6,0,-0.36335,388.94015
8.7,0,-0.37264,388.9
8.8,0,-0.35265,388.9
8.9,0,-0.338,388.9
9,0,-0.35407,388.9
9.1,0,-0.39264,388.9
9.2,0,-0.36192,388.9
9.3,0,-0.32872,388.90986
9.4,0,-0.35264,388.95987
9.5,0,-0.35408,388.99012
9.6,0,-0.39264,388.94012
9.7,0,-0.37264,388.9
9.8,0,-0.34728,388.9
9.9,0,-0.32873,388.9
10,0,-0.3741,388.9
10.1,0,-0.39117,388.9
10.2,0,-0.318,388.9
10.3,0,-0.32874,388.9099
10.4,0,-0.36337,388.9599
10.5,0,-0.36189,388.99011
10.6,0,-0.32874,388.94015
10.7,0,-0.358,388.9
10.8,0,-0.36337,388.9
10.9,0,-0.378,388.9
11,0,-0.36725,388.9
11.1,0,-0.35412,388.9
11.2,0,-0.37649,388.9
11.3,0,-0.32876,388.90985
11.4,0,-0.35263,388.95985
11.5,0,-0.34874,388.99015
11.6,0,-0.378,388.94015
11.7,0,-0.36185,388.9
11.8,0,-0.33414,388.9
11.9,0,-0.378,388.9
12,0,-0.378,388.9
12.1,0,-0.38875,388.89013
12.2,0,-0.40187,388.84009
12.3,0,-0.358,388.80994
12.4,0,-0.35262,388.85994
12.5,0,-0.338,388.89006
12.6,0,-0.34338,388.84006
12.7,0,-0.35265,388.8
12.8,0,-0.34875,388.8
12.9,0,-0.378,388.80993
13,0,-0.378,388.85995
13.1,0,-0.37264,388.89004
13.2,0,-0.358,388.84004
13.3,0,-0.358,388.80996
13.4,0,-0.35262,388.85996
13.5,0,-0.33265,388.89004
13.6,0,-0.33414,388.84004
13.7,0,-0.36729,388.8
13.8,0,-0.34338,388.8
13.9,0,-0.36871,388.80998
14,0,-0.38724,388.85997
14.1,0,-0.36336,388.89003
14.2,0,-0.37261,388.84002
14.3,0,-0.3421,388.8
14.4,0,-0.31865,388.8
14.5,0,-0.36251,388.8
14.6,0,-0.318,388.8
14.7,0,-0.318,388.8
14.8,0,-0.3335,388.8
14.9,0,-0.37283,388.8
15,0,-0.35284,388.8
15.1,0,-0.338,388.79002
15.2,0,-0.338,388.74001
15.3,0,-0.33283,388.70999
15.4,0,-0.33349,388.75998
15.5,0,-0.36768,388.8
15.6,0,-0.338,388.8
15.7,0,-0.34834,388.79
15.8,0,-0.378,388.73999
15.9,0,-0.37284,388.71002
16,0,-0.358,388.76002
16.1,0,-0.358,388.8
16.2,0,-0.35283,388.8
16.3,0,-0.34317,388.8
16.4,0,-0.36318,388.8
16.5,0,-0.36765,388.8
16.6,0,-0.34317,388.8
16.7,0,-0.36834,388.79001
16.8,0,-0.38246,388.74
16.9,0,-0.35354,388.71
17,0,-0.39285,388.76002
17.1,0,-0.37295,388.78997
17.2,0,-0.35294,388.73997
17.3,0,-0.338,388.7
17.4,0,-0.338,388.7
17.5,0,-0.35265,388.71001
17.6,0,-0.38333,388.76003
17.7,0,-0.35274,388.78995
17.8,0,-0.38293,388.73995
17.9,0,-0.338,388.71005
18,0,-0.338,388.76005
18.1,0,-0.34303,388.78995
18.2,0,-0.34794,388.73995
18.3,0,-0.32303,388.71005
18.4,0,-0.338,388.76004
18.5,0,-0.34301,388.78997
18.6,0,-0.35298,388.73995
18.7,0,-0.34302,388.7
18.8,0,-0.34795,388.7
18.9,0,-0.3331,388.7
19,0,-0.38304,388.7
19.1,0,-0.38289,388.68997
19.2,0,-0.338,388.64013
19.3,0,-0.34806,388.60972
19.4,0,-0.36796,388.65967
19.5,0,-0.34797,388.7
19.6,0,-0.37297,388.7
19.7,0,-0.358,388.6903
19.8,0,-0.36302,388.64009
19.9,0,-0.373,388.61009
20,0,-0.36303,388.66009
20.1,0,-0.378,388.68991
20.2,0,-0.378,388.63992
20.3,0,-0.3683,388.61008
20.4,0,-0.34285,388.66007
20.5,0,-0.35315,388.68994
20.6,0,-0.35253,388.63991
20.7,0,-0.38347,388.6
20.8,0,-0.34284,388.6
20.9,0,-0.36284,388.61011
21,0,-0.37316,388.66011
21.1,0,-0.35316,388.68989
21.2,0,-0.34284,388.63989
21.3,0,-0.358,388.61011
21.4,0,-0.36285,388.66009
21.5,0,-0.37322,388.68993
21.6,0,-0.35347,388.63993
21.7,0,-0.34253,388.6
21.8,0,-0.358,388.6
21.9,0,-0.358,388.6
22,0,-0.36253,388.6
22.1,0,-0.378,388.6
22.2,0,-0.378,388.6
22.3,0,-0.36893,388.61013
22.4,0,-0.338,388.66011
22.5,0,-0.33346,388.68989
22.6,0,-0.32254,388.63988
22.7,0,-0.34708,388.6
22.8,0,-0.37346,388.6
22.9,0,-0.358,388.6
23,0,-0.358,388.6
23.1,0,-0.35346,388.6
