Time [s],Velocity [km/h],Battery_Voltage [V],Acceleration_rms,State
0,0,388.8,0.354970681,IDLE
1,0,388.8,0.362510591,IDLE
2,0,388.8,0.348378629,IDLE
3,0,388.8,0.357615918,IDLE
4,0,388.8,0.359947021,IDLE
5,0,388.8,0.355984066,IDLE
6,0,388.8,0.351859833,IDLE
7,0,388.8,0.365659059,IDLE
8,0,388.8,0.346279602,IDLE
9,0,388.8,0.359165119,IDLE
10,0,388.8,0.35725574,IDLE
11,0,388.8,0.358388317,IDLE
12,0,388.8,0.364560192,IDLE
13,0,388.80971,0.356858211,IDLE
14,0,388.85971,0.349754158,IDLE
15,0,388.9,0.350377291,IDLE
16,0,388.9,0.359215128,IDLE
17,0,388.9,0.360982863,IDLE
18,0,388.9,0.341102108,IDLE
19,0,388.9,0.363782212,IDLE
20,0,388.9,0.362764867,IDLE
21,0,388.9,0.357662239,IDLE
22,0,388.9,0.35649374,IDLE
23,0,388.90973,0.242011951,IDLE
24,0,388.95973,0.281756656,IDLE
25,0,388.99027,0.299143575,IDLE
26,0,388.94028,0.198986028,IDLE
27,0,388.9,0.637773943,IDLE
28,0,388.9,0.246911403,IDLE
29,0,388.90974,0.739762337,IDLE
30,0,388.95974,1.39609534,IDLE
31,0,388.99026,0.476354868,IDLE
32,0,388.94026,1.288591693,IDLE
33,0,388.90975,0.534182104,IDLE
34,0,388.95974,1.315034896,IDLE
35,0,388.99026,1.12664713,IDLE
36,0,388.94025,0.680208696,IDLE
37,0,388.9,0.334006305,IDLE
38,0,388.9,0.18731707,IDLE
39,0,388.90975,0.175607564,IDLE
40,0,388.95976,0.200956323,IDLE
41,0,389,0.535240102,IDLE
42,0,389,0.677066707,IDLE
43,0,389,0.825508664,IDLE
44,0,389,1.086831482,IDLE
45,0,389,0.99130851,IDLE
46,0,389,1.123882645,IDLE
47,0,389,1.108057077,IDLE
48,0,389,1.015391471,IDLE
49,0,389,0.74518634,IDLE
50,0,389,0.296557139,IDLE
51,0,388.99022,0.170105844,IDLE
52,0,388.94022,0.754759906,IDLE
53,0,388.90979,1.267639039,IDLE
54,0,388.95979,0.601594295,IDLE
55,0,389,0.406429172,IDLE
56,0,389,0.216635361,IDLE
57,0,389,0.284642994,IDLE
58,0,389,0.950205918,IDLE
59,0,389,1.555781538,IDLE
60,0,389,1.95623812,IDLE
61,0,389,2.100116371,IDLE
62,0,389,1.163205177,IDLE
63,0,389,0.951584473,IDLE
64,0,389,0.589896998,IDLE
65,0,388.99018,0.529914975,IDLE
66,0,388.94019,1.329488804,IDLE
67,0,388.90981,1.06002163,IDLE
68,0,388.9598,0.804737787,IDLE
69,0,389,0.511588043,IDLE
70,0,389,0.102747341,IDLE
71,0,388.9902,0.163823797,IDLE
72,0,388.94018,0.227902578,IDLE
73,0,388.90983,0.25278434,IDLE
74,0,388.95983,0.341842492,IDLE
75,0,388.99017,0.556122237,IDLE
76,0,388.94016,0.829377532,IDLE
77,0,388.9,0.897990637,IDLE
78,0,388.9,0.978291429,IDLE
79,0,388.90985,0.898887645,IDLE
80,0,388.95984,0.668736121,IDLE
